time,open,high,low,close,vwap,volume,count
2025-06-17 20:15:00,320.77,321.22,320.19,321.10,320.81,6.73435874,14
2025-06-17 20:30:00,321.94,322.05,320.30,320.30,320.96,39.86006606,46
2025-06-17 20:45:00,320.58,320.58,319.45,319.95,319.61,10.06695170,22
2025-06-17 21:00:00,320.24,320.92,319.85,320.67,320.05,18.49930166,35
2025-06-17 21:15:00,320.80,321.95,320.40,320.68,321.41,39.16609559,56
2025-06-17 21:30:00,320.69,322.37,320.42,320.42,321.27,20.75019858,22
2025-06-17 21:45:00,320.41,321.55,320.39,321.48,321.04,7.67377920,13
2025-06-17 22:00:00,321.50,321.51,320.69,320.69,321.50,105.31439900,113
2025-06-17 22:15:00,320.98,321.51,320.14,320.64,320.77,30.68146781,57
2025-06-17 22:30:00,320.85,321.02,320.13,320.83,320.56,7.74423129,18
2025-06-17 22:45:00,320.53,320.95,319.73,319.73,320.31,2.98209000,5
2025-06-17 23:00:00,319.73,319.92,319.32,319.92,319.77,11.81943835,17
2025-06-17 23:15:00,319.45,320.55,319.27,320.38,319.91,5.24274596,21
2025-06-17 23:30:00,320.24,320.53,320.24,320.53,320.38,6.99462829,21
2025-06-17 23:45:00,320.32,320.50,319.50,319.69,320.10,9.25941119,23
2025-06-18 00:00:00,319.87,320.85,319.63,320.85,320.32,6.50720000,24
2025-06-18 00:15:00,320.85,320.85,318.51,318.63,319.98,152.19757181,130
2025-06-18 00:30:00,318.52,320.02,318.52,319.99,319.65,5.62350476,18
2025-06-18 00:45:00,319.96,320.42,319.27,320.42,319.80,19.11878050,21
2025-06-18 01:00:00,319.84,321.50,319.36,320.99,320.32,128.54561345,122
2025-06-18 01:15:00,321.03,321.41,320.97,320.97,321.22,17.38302650,20
2025-06-18 01:30:00,321.17,321.46,321.15,321.44,321.42,8.54608520,16
2025-06-18 01:45:00,320.97,321.51,320.83,321.42,321.45,194.54019126,141
2025-06-18 02:00:00,321.30,322.08,321.30,322.05,321.61,103.16063000,132
2025-06-18 02:15:00,321.78,322.98,321.28,322.29,322.56,87.86611408,65
2025-06-18 02:30:00,322.15,322.15,321.18,321.19,321.57,2.98184023,10
2025-06-18 02:45:00,321.19,321.73,321.19,321.73,321.44,5.47479481,11
2025-06-18 03:00:00,321.73,322.71,321.73,322.52,322.34,14.93400542,28
2025-06-18 03:15:00,322.86,324.49,322.42,324.49,323.77,139.14040697,148
2025-06-18 03:30:00,324.35,324.49,323.87,323.87,324.29,25.64464250,31
2025-06-18 03:45:00,322.93,322.97,321.91,321.91,322.59,8.51139671,20
2025-06-18 04:00:00,321.99,322.54,320.84,322.26,321.61,17.50101452,47
2025-06-18 04:15:00,322.09,322.17,320.83,320.94,321.07,13.02165063,27
2025-06-18 04:30:00,320.83,321.62,320.79,321.62,321.34,39.27476523,46
2025-06-18 04:45:00,321.92,322.45,321.76,322.40,322.24,6.72035173,27
2025-06-18 05:00:00,322.54,322.56,320.84,320.84,321.61,10.46129152,22
2025-06-18 05:15:00,321.35,323.54,321.35,323.42,322.21,22.51807947,50
2025-06-18 05:30:00,323.43,324.69,323.42,323.94,324.26,25.85327726,32
2025-06-18 05:45:00,323.98,325.49,323.91,325.20,324.82,23.59182754,56
2025-06-18 06:00:00,324.89,324.89,324.24,324.32,324.37,1.94512000,6
2025-06-18 06:15:00,324.77,324.77,324.30,324.30,324.36,2.16209516,6
2025-06-18 06:30:00,324.27,324.86,323.33,323.51,324.15,12.85206153,33
2025-06-18 06:45:00,323.47,323.67,322.96,323.20,323.15,1.71328587,12
2025-06-18 07:00:00,323.56,324.14,323.32,324.14,323.60,2.82422047,24
2025-06-18 07:15:00,324.46,324.96,323.78,323.78,324.51,14.89264988,27
2025-06-18 07:30:00,323.98,326.28,323.98,325.33,325.04,75.94526295,141
2025-06-18 07:45:00,325.08,326.27,325.08,326.25,325.61,44.75279289,88
2025-06-18 08:00:00,326.29,326.49,325.32,326.33,326.24,16.99493335,26
2025-06-18 08:15:00,326.28,329.22,326.11,328.37,327.83,1367.93284279,867
2025-06-18 08:30:00,327.79,334.12,327.70,334.09,332.14,4266.89163009,1800
2025-06-18 08:45:00,334.09,334.10,330.65,331.24,333.59,270.94921910,83
2025-06-18 09:00:00,330.72,331.29,329.02,329.15,329.95,91.95744065,174
2025-06-18 09:15:00,329.06,329.21,326.51,326.63,327.94,198.92970402,331
2025-06-18 09:30:00,326.60,327.44,325.51,326.06,326.32,40.70981046,97
2025-06-18 09:45:00,325.86,326.31,325.86,326.31,326.10,11.00376090,14
2025-06-18 10:00:00,325.77,327.81,325.65,327.81,325.97,21.08258108,28
2025-06-18 10:15:00,327.39,327.55,324.90,326.21,325.76,46.63253176,61
2025-06-18 10:30:00,325.71,327.14,325.57,327.14,326.46,19.29989539,22
2025-06-18 10:45:00,325.80,326.25,324.30,324.30,325.29,28.92072571,48
2025-06-18 11:00:00,324.55,325.28,324.26,324.86,324.62,20.72277437,40
2025-06-18 11:15:00,324.96,325.67,324.32,325.25,324.69,30.55768691,34
2025-06-18 11:30:00,325.53,325.53,321.35,322.07,323.31,112.46377158,164
2025-06-18 11:45:00,322.75,323.00,321.01,322.26,321.70,64.90512751,121
2025-06-18 12:00:00,322.31,322.31,320.92,320.92,321.39,38.68562319,55
2025-06-18 12:15:00,321.48,321.77,319.01,319.01,319.92,116.68149869,200
2025-06-18 12:30:00,319.91,320.05,319.88,319.89,319.88,4.58173611,10
2025-06-18 12:45:00,320.11,321.15,319.01,319.95,319.72,53.44882205,103
2025-06-18 13:00:00,320.10,320.67,319.20,319.58,319.58,46.92436240,70
2025-06-18 13:15:00,319.56,319.69,319.01,319.01,319.20,41.42507325,90
2025-06-18 13:30:00,319.02,319.70,319.01,319.01,319.23,160.29954882,358
2025-06-18 13:45:00,319.01,320.34,318.52,318.75,319.14,178.69391394,247
2025-06-18 14:00:00,318.95,320.26,318.01,320.26,318.69,39.54728358,66
2025-06-18 14:15:00,320.27,322.48,320.27,322.31,321.71,13.73148951,45
2025-06-18 14:30:00,322.30,322.68,321.78,322.67,322.25,22.01313086,21
2025-06-18 14:45:00,322.68,322.87,320.97,321.67,321.37,44.20391127,197
2025-06-18 15:00:00,321.33,322.20,320.34,320.56,321.45,8.20737216,42
2025-06-18 15:15:00,320.90,322.70,320.26,322.70,321.34,17.29917703,29
2025-06-18 15:30:00,322.32,322.54,321.29,322.10,321.89,4.37058746,11
2025-06-18 15:45:00,321.60,322.02,320.92,321.09,321.23,15.61996152,32
2025-06-18 16:00:00,321.23,322.81,320.76,322.81,321.34,5.25269965,20
2025-06-18 16:15:00,322.53,322.93,320.98,321.07,321.97,95.33863909,89
2025-06-18 16:30:00,321.04,321.53,320.00,320.00,320.53,12.68912077,43
2025-06-18 16:45:00,320.01,320.96,319.42,320.96,320.15,31.16961737,38
2025-06-18 17:00:00,321.56,322.36,320.18,321.85,320.93,29.93151001,60
