time,open,high,low,close,vwap,volume
2024-12-05,196.22,212.4,185.0,193.56,197.02,25722.67954092
2024-12-06,193.56,205.45,193.2,199.14,199.43,12258.13545202
2024-12-07,198.74,203.72,194.14,200.62,199.69,10523.92536282
2024-12-08,200.62,224.94,196.1,222.79,209.10,13622.70643406
2024-12-09,222.54,227.37,155.52,176.02,189.01,38367.71714617
2024-12-10,175.78,180.52,164.48,179.67,173.56,12651.1000856
2024-12-11,179.5,200.51,175.43,200.51,189.23,11620.30217578
2024-12-12,200.51,215.62,194.33,199.4,202.71,15035.16076513
2024-12-13,199.13,214.46,198.21,207.27,207.40,16712.63140919
2024-12-14,207.31,220.98,200.37,210.32,208.85,10375.87068078
2024-12-15,209.74,223.68,205.2,221.93,215.84,13725.19419134
2024-12-16,221.93,231.96,207.75,212.1,218.22,11050.84119488
2024-12-17,211.16,225.1,208.73,213.36,218.76,12648.98647392
2024-12-18,213.56,224.62,209.63,212.03,217.08,16717.97145161
2024-12-19,212.47,215.4,189.0,194.51,204.29,20262.57427375
2024-12-20,194.37,201.98,166.28,196.71,183.11,18945.28911681
2024-12-21,196.71,197.56,181.15,183.95,190.18,8752.97218332
2024-12-22,183.99,198.56,181.4,190.12,190.71,6821.98954823
2024-12-23,190.19,193.62,184.94,190.94,190.29,6528.07209998
2024-12-24,190.65,193.4,184.5,190.21,189.79,6132.88666985
2024-12-25,190.07,199.62,189.33,190.71,194.22,6797.99612236
2024-12-26,190.76,194.16,186.51,189.0,190.16,6302.26539751
2024-12-27,189.12,195.87,186.93,192.54,191.27,5476.61273769
2024-12-28,192.54,200.83,192.51,196.74,197.18,5508.82281667
